Index,Gates,Gates (%),Area,Area (%),Delay,Delay (%)
1008,    95, 21.1,      111.74, 78.9,   487.70, 24.2
1009,   129, 24.8,      137.17, 75.2,   372.07, 16.3
1010,   124, 24.2,      132.50, 75.8,   422.25, 16.1
1011,    91, 15.4,      106.14, 84.6,   471.82, 22.0
1012,   119, 21.8,      139.50, 78.2,   419.05, 16.8
1013,    95, 13.7,      112.91, 86.3,   430.71, 24.2
1014,    90, 17.8,      113.61, 82.2,   436.49, 26.7
1015,    92, 12.0,      107.31, 88.0,   450.23, 21.7
1016,   108, 22.2,      123.41, 77.8,   464.86, 20.4
1017,    95, 23.2,      110.11, 76.8,   478.61, 23.2
1018,   108, 19.4,      123.41, 80.6,   418.66, 20.4
1019,    92, 18.5,      113.14, 81.5,   484.22, 21.7
1020,    86, 12.8,      105.68, 87.2,   463.89, 22.1
1021,   105, 17.1,      117.57, 82.9,   465.43, 24.8
1022,    91, 16.5,      112.44, 83.5,   484.28, 20.9
1023,   126, 23.0,      134.60, 77.0,   372.95, 29.4
1024,    89, 15.7,      110.57, 84.3,   447.21, 25.8
1025,   101, 25.7,      113.61, 74.3,   453.57, 22.8
1026,   102, 25.5,      115.24, 74.5,   489.41, 20.6
1027,    85,  9.4,      106.61, 90.6,   477.18, 23.5
1028,   100, 17.0,      111.51, 83.0,   417.76, 22.0
1029,   130, 31.5,      139.50, 68.5,   403.61, 16.2
1030,   109, 28.4,      121.77, 71.6,   429.21, 24.8
1031,    85, 10.6,      110.34, 89.4,   488.26, 24.7
1032,    93, 17.2,      115.47, 82.8,   483.48, 20.4
1033,   108, 24.1,      119.21, 75.9,   441.82, 17.6
1034,   105, 20.0,      124.57, 80.0,   414.36, 25.7
1035,   121, 26.4,      129.47, 73.6,   398.82, 28.1
1036,    92, 19.6,      112.67, 80.4,   481.79, 19.6
1037,   122, 24.6,      133.44, 75.4,   388.18, 18.0
1038,   118, 22.0,      138.10, 78.0,   408.43, 22.0
1039,    88, 13.6,      106.14, 86.4,   463.52, 23.9
1040,   113, 13.3,      134.37, 86.7,   358.84, 19.5
1041,   115, 24.3,      135.07, 75.7,   469.68, 16.5
1042,    97, 22.7,      112.67, 77.3,   486.45, 20.6
1043,    85, 11.8,      104.74, 88.2,   482.68, 24.7
1044,   128, 28.1,      139.97, 71.9,   393.83, 29.7
1045,    82, 19.5,      107.78, 80.5,   472.70, 22.0
1046,   137, 31.4,      142.77, 68.6,   430.07, 15.3
1047,    92, 13.0,      114.31, 87.0,   486.85, 21.7
1048,   118, 24.6,      129.70, 75.4,   442.82, 16.9
1049,   106, 29.2,      121.54, 70.8,   498.66, 21.7
1050,    98, 28.6,      112.67, 71.4,   496.97, 19.4
1051,   107, 19.6,      121.54, 80.4,   473.43, 17.8
1052,   104, 13.5,      125.97, 86.5,   407.69, 32.7
1053,    94, 17.0,      111.74, 83.0,   456.01, 24.5
1054,   132, 25.8,      145.10, 74.2,   410.31, 18.9
1055,   101, 21.8,      119.91, 78.2,   456.16, 18.8
1056,   128, 27.3,      140.43, 72.7,   391.73, 26.6
1057,   118, 24.6,      128.77, 75.4,   404.74, 21.2
1058,   110, 23.6,      124.80, 76.4,   445.07, 20.0
1059,    97, 22.7,      111.51, 77.3,   462.57, 22.7
1060,   123, 22.0,      134.37, 78.0,   407.65, 21.1
1061,    92, 14.1,      117.81, 85.9,   428.97, 25.0
1062,   115, 23.5,      132.50, 76.5,   414.44, 27.0
1063,    95, 16.8,      112.91, 83.2,   488.38, 23.2
1064,   100, 21.0,      117.34, 79.0,   502.99, 21.0
1065,    85, 14.1,      109.41, 85.9,   504.62, 23.5
1066,    94, 19.1,      113.14, 80.9,   477.80, 23.4
1067,    82, 17.1,      108.71, 82.9,   494.84, 25.6
1068,   118, 24.6,      128.54, 75.4,   470.19, 17.8
1069,    85, 17.6,      107.78, 82.4,   485.49, 22.4
1070,   100, 19.0,      116.64, 81.0,   455.67, 24.0
1071,   142, 35.2,      150.47, 64.8,   369.78, 14.8
1072,   102, 20.6,      119.91, 79.4,   460.33, 21.6
1073,    96, 21.9,      111.51, 78.1,   484.67, 19.8
1074,   128, 24.2,      139.50, 75.8,   377.71, 25.0
1075,    95, 21.1,      116.87, 78.9,   432.59, 24.2
1076,   104, 23.1,      118.27, 76.9,   449.21, 20.2
1077,   123, 25.2,      132.27, 74.8,   410.47, 26.8
1078,    90, 15.6,      112.91, 84.4,   426.30, 26.7
1079,    98, 20.4,      115.24, 79.6,   465.08, 20.4
1080,    89, 14.6,      111.51, 85.4,   476.35, 22.5
1081,    87, 18.4,      106.84, 81.6,   468.14, 24.1
1082,   106, 27.4,      120.14, 72.6,   437.34, 21.7
1083,    98, 23.5,      112.91, 76.5,   474.53, 21.4
1084,    91, 18.7,      109.64, 81.3,   477.99, 22.0
1085,   125, 24.0,      136.00, 76.0,   395.69, 18.4
1086,   106, 22.6,      115.47, 77.4,   503.06, 21.7
1087,    99, 19.2,      110.11, 80.8,   461.79, 18.2
1088,   122, 20.5,      139.27, 79.5,   399.11, 17.2
1089,   100, 20.0,      119.44, 80.0,   482.03, 23.0
1090,   121, 21.5,      132.50, 78.5,   390.43, 18.2
1091,    89, 15.7,      105.91, 84.3,   484.24, 22.5
1092,   114, 19.3,      127.84, 80.7,   371.30, 33.3
1093,    91, 20.9,      113.37, 79.1,   475.20, 22.0
1094,   126, 29.4,      132.50, 70.6,   413.89, 17.5
1095,    85, 12.9,      104.98, 87.1,   452.75, 27.1
1096,    87, 17.2,      106.14, 82.8,   483.74, 25.3
1097,   114, 25.4,      128.77, 74.6,   422.01, 26.3
1098,    99, 20.2,      119.91, 79.8,   461.71, 23.2
1099,    92, 22.8,      114.31, 77.2,   456.51, 23.9
1100,    88, 18.2,      110.11, 81.8,   500.34, 29.5
1101,   137, 27.7,      144.63, 72.3,   391.99, 25.5
1102,    94, 17.0,      113.37, 83.0,   440.85, 25.5
1103,    90, 20.0,      109.18, 80.0,   471.75, 20.0
1104,    97, 18.6,      108.71, 81.4,   465.99, 23.7
1105,   132, 26.5,      139.97, 73.5,   433.63, 15.9
1106,   118, 28.0,      124.34, 72.0,   443.92, 22.9
1107,   111, 24.3,      124.57, 75.7,   432.47, 18.0
1108,   128, 28.1,      138.80, 71.9,   441.41, 14.1
1109,    92, 19.6,      106.61, 80.4,   461.08, 20.7
1110,    85, 10.6,      105.91, 89.4,   472.30, 24.7
1111,   107, 21.5,      113.37, 78.5,   462.97, 21.5
1112,    88, 14.8,      104.98, 85.2,   484.74, 26.1
1113,   118, 24.6,      125.74, 75.4,   421.75, 25.4
1114,    92, 13.0,      111.97, 87.0,   468.58, 22.8
1115,   120, 21.7,      133.44, 78.3,   373.79, 27.5
1116,   116, 23.3,      127.84, 76.7,   410.38, 19.8
1117,   119, 22.7,      133.90, 77.3,   454.20, 16.8
1118,    98, 18.4,      118.27, 81.6,   432.54, 24.5
1119,    95, 18.9,      112.91, 81.1,   466.79, 24.2
1120,   123, 28.5,      131.80, 71.5,   448.98, 18.7
1121,   116, 20.7,      132.04, 79.3,   434.42, 16.4
1122,   111, 20.7,      127.14, 79.3,   417.33, 27.0
1123,    93, 17.2,      115.71, 82.8,   456.25, 22.6
1124,   101, 15.8,      113.61, 84.2,   472.24, 16.8
1125,    92, 20.7,      117.81, 79.3,   492.89, 25.0
1126,   121, 20.7,      137.87, 79.3,   403.69, 14.9
1127,    90, 20.0,      112.21, 80.0,   494.40, 23.3
1128,   104, 25.0,      120.37, 75.0,   445.76, 21.2
1129,    95, 14.7,      111.04, 85.3,   466.45, 24.2
1130,    99, 26.3,      116.64, 73.7,   510.72, 24.2
1131,   138, 30.4,      140.67, 69.6,   376.91, 17.4
1132,    89, 13.5,      100.78, 86.5,   455.77, 19.1
1133,    97, 19.6,      111.04, 80.4,   421.05, 24.7
1134,    96, 19.8,      111.27, 80.2,   439.47, 26.0
1135,    94, 14.9,      111.97, 85.1,   444.44, 28.7
1136,   118, 21.2,      132.50, 78.8,   357.45, 38.1
1137,    94, 14.9,      108.71, 85.1,   467.83, 27.7
1138,   116, 28.4,      130.40, 71.6,   441.02, 24.1
1139,   103, 24.3,      115.94, 75.7,   470.98, 22.3
1140,    99, 24.2,      118.97, 75.8,   462.30, 20.2
1141,   108, 21.3,      122.24, 78.7,   452.23, 19.4
1142,    99, 25.3,      114.77, 74.7,   494.86, 21.2
1143,    96, 19.8,      112.44, 80.2,   478.65, 19.8
1144,    95, 25.3,      111.51, 74.7,   499.46, 25.3
1145,   113, 25.7,      121.07, 74.3,   465.20, 20.4
1146,   115, 18.3,      131.10, 81.7,   375.71, 29.6
1147,   132, 24.2,      142.30, 75.8,   374.23, 12.9
1148,    92, 18.5,      117.11, 81.5,   455.14, 26.1
1149,    98, 23.5,      113.37, 76.5,   472.49, 21.4
1150,    88, 19.3,      109.64, 80.7,   474.89, 22.7
1151,   120, 24.2,      131.34, 75.8,   385.03, 18.3
1152,   119, 27.7,      129.00, 72.3,   421.89, 16.0
1153,    90, 11.1,      107.31, 88.9,   484.34, 22.2
1154,    96, 15.6,      110.34, 84.4,   464.69, 25.0
1155,    82,  7.3,      106.61, 92.7,   457.79, 25.6
1156,   121, 23.1,      136.94, 76.9,   396.67, 18.2
1157,   128, 23.4,      141.83, 76.6,   405.28, 15.6
1158,    96, 11.5,      117.81, 88.5,   451.74, 20.8
1159,   129, 25.6,      138.80, 74.4,   391.75, 17.1
1160,    90, 18.9,      111.04, 81.1,   462.30, 26.7
1161,   137, 27.0,      143.23, 73.0,   449.72, 18.2
1162,   124, 21.8,      131.57, 78.2,   397.15, 15.3
1163,   113, 20.4,      129.94, 79.6,   417.05, 20.4
1164,   115, 20.9,      138.34, 79.1,   429.76, 17.4
1165,    81, 11.1,      101.71, 88.9,   464.32, 22.2
1166,   127, 29.9,      140.90, 70.1,   412.12, 21.3
1167,    99, 15.2,      108.71, 84.8,   459.36, 24.2
1168,   131, 30.5,      144.87, 69.5,   392.44, 14.5
1169,   118, 28.0,      136.47, 72.0,   434.46, 16.1
1170,    86, 12.8,      109.18, 87.2,   493.39, 24.4
1171,    95, 15.8,      107.78, 84.2,   484.41, 22.1
1172,    92, 17.4,      110.34, 82.6,   482.02, 21.7
1173,   124, 25.0,      139.03, 75.0,   415.87, 16.9
1174,   100, 22.0,      120.61, 78.0,   453.42, 25.0
1175,   125, 22.4,      138.10, 77.6,   401.55, 19.2
1176,   124, 25.8,      141.13, 74.2,   438.86, 15.3
1177,    96, 21.9,      111.27, 78.1,   454.32, 22.9
1178,   129, 28.7,      137.40, 71.3,   463.24, 17.8
1179,    86, 14.0,      111.04, 86.0,   491.04, 22.1
1180,   100, 18.0,      115.24, 82.0,   440.43, 20.0
1181,    79,  5.1,      104.04, 94.9,   477.46, 25.3
1182,    89, 10.1,      107.31, 89.9,   467.31, 24.7
1183,   109, 30.3,      118.97, 69.7,   467.91, 21.1
1184,    93, 20.4,      109.18, 79.6,   438.09, 18.3
1185,   116, 20.7,      131.34, 79.3,   402.65, 17.2
1186,   106, 18.9,      123.17, 81.1,   410.91, 19.8
1187,   103, 20.4,      119.91, 79.6,   439.62, 25.2
1188,    93, 15.1,      110.81, 84.9,   508.01, 22.6
1189,   139, 28.1,      146.97, 71.9,   418.12, 28.8
1190,   108, 22.2,      120.37, 77.8,   449.36, 20.4
1191,   120, 25.8,      132.97, 74.2,   439.89, 18.3
1192,   120, 25.8,      129.47, 74.2,   412.15, 26.7
1193,   103, 20.4,      117.57, 79.6,   474.24, 22.3
1194,   119, 16.8,      132.04, 83.2,   407.62, 16.0
1195,    88, 19.3,      110.11, 80.7,   496.56, 22.7
1196,   126, 24.6,      139.50, 75.4,   384.95, 17.5
1197,    86, 14.0,      110.57, 86.0,   464.38, 26.7
1198,    90, 11.1,      109.18, 88.9,   500.43, 23.3
1199,    96, 18.8,      116.17, 81.2,   508.46, 24.0
1200,    98, 22.4,      115.01, 77.6,   472.64, 19.4
1201,   109, 21.1,      124.34, 78.9,   455.78, 27.5
1202,   128, 25.8,      135.54, 74.2,   385.95, 17.2
1203,   112, 22.3,      125.27, 77.7,   475.29, 25.9
1204,    97, 18.6,      115.47, 81.4,   493.93, 19.6
1205,   116, 18.1,      129.00, 81.9,   425.51, 16.4
1206,   114, 26.3,      133.20, 73.7,   456.29, 16.7
1207,    98, 26.5,      117.11, 73.5,   510.87, 22.4
1208,   102, 22.5,      112.67, 77.5,   459.56, 24.5
1209,   111, 23.4,      128.07, 76.6,   437.65, 18.9
1210,    92, 17.4,      108.24, 82.6,   443.60, 28.3
1211,   114, 15.8,      135.77, 84.2,   402.23, 18.4
1212,    93, 22.6,      110.11, 77.4,   495.93, 23.7
1213,   108, 25.9,      119.67, 74.1,   450.73, 20.4
1214,   129, 29.5,      142.53, 70.5,   407.78, 20.9
1215,   125, 23.2,      131.34, 76.8,   396.99, 29.6
1216,   111, 29.7,      117.57, 70.3,   455.42, 19.8
1217,   135, 29.6,      141.13, 70.4,   390.37, 27.4
1218,    87, 17.2,      109.87, 82.8,   465.95, 23.0
1219,   125, 25.6,      142.53, 74.4,   376.63, 16.8
1220,    88, 13.6,      103.11, 86.4,   457.13, 23.9
1221,   105, 21.0,      116.17, 79.0,   451.22, 21.0
1222,   136, 27.9,      144.87, 72.1,   407.35, 16.9
1223,    95, 21.1,      111.27, 78.9,   454.75, 18.9
1224,   138, 27.5,      149.07, 72.5,   376.15, 15.2
1225,   129, 27.1,      142.53, 72.9,   367.95, 17.8
1226,    92, 14.1,      109.64, 85.9,   464.15, 26.1
1227,   123, 21.1,      128.30, 78.9,   386.27, 15.4
1228,   102, 21.6,      116.64, 78.4,   445.78, 21.6
1229,   117, 23.9,      125.74, 76.1,   414.89, 25.6
1230,   101, 21.8,      118.04, 78.2,   466.74, 27.7
1231,    82, 14.6,      107.31, 85.4,   436.24, 23.2
1232,    87, 16.1,      107.54, 83.9,   480.69, 21.8
1233,   106, 17.0,      125.04, 83.0,   434.86, 21.7
1234,   101, 22.8,      115.94, 77.2,   426.36, 24.8
1235,   101, 21.8,      119.21, 78.2,   465.48, 18.8
1236,   117, 28.2,      123.17, 71.8,   452.12, 19.7
1237,   139, 30.9,      149.30, 69.1,   359.75, 16.5
1238,    91, 16.5,      109.18, 83.5,   443.91, 24.2
1239,   109, 17.4,      125.04, 82.6,   452.94, 16.5
1240,   100, 22.0,      114.31, 78.0,   488.17, 22.0
1241,   112, 19.6,      133.44, 80.4,   421.89, 19.6
1242,   122, 19.7,      134.14, 80.3,   371.61, 31.1
1243,    98, 19.4,      113.84, 80.6,   452.79, 23.5
1244,    86, 11.6,      105.91, 88.4,   478.95, 22.1
1245,   122, 27.0,      133.90, 73.0,   429.43, 18.0
1246,    94, 19.1,      112.91, 80.9,   487.98, 24.5
1247,   100, 17.0,      121.77, 83.0,   494.97, 24.0
1248,   117, 28.2,      126.67, 71.8,   449.64, 23.9
1249,   101, 21.8,      112.91, 78.2,   485.32, 21.8
1250,   116, 20.7,      131.34, 79.3,   402.33, 16.4
1251,   126, 25.4,      141.13, 74.6,   379.25, 17.5
1252,    85, 15.3,      107.08, 84.7,   464.74, 24.7
1253,    90, 13.3,      104.28, 86.7,   463.12, 20.0
1254,    97, 19.6,      111.04, 80.4,   484.07, 24.7
1255,   111, 26.1,      123.41, 73.9,   463.52, 19.8
1256,    90, 18.9,      108.71, 81.1,   487.80, 22.2
1257,    98, 18.4,      112.67, 81.6,   470.70, 19.4
1258,    83, 13.3,      107.54, 86.7,   471.94, 24.1
1259,   124, 20.2,      140.20, 79.8,   423.08, 19.4
1260,    88, 13.6,      111.27, 86.4,   459.40, 26.1
1261,    89, 18.0,      107.78, 82.0,   459.54, 23.6
1262,    94, 22.3,      113.61, 77.7,   477.20, 22.3
1263,   113, 22.1,      128.54, 77.9,   404.59, 16.8
1264,   127, 25.2,      139.27, 74.8,   421.64, 21.3
1265,    94, 18.1,      109.41, 81.9,   477.54, 20.2
1266,   107, 27.1,      122.24, 72.9,   461.40, 21.5
1267,    93, 22.6,      109.64, 77.4,   485.12, 21.5
1268,   125, 23.2,      142.07, 76.8,   378.95, 16.8
1269,   101, 22.8,      116.64, 77.2,   480.59, 23.8
1270,   107, 22.4,      123.41, 77.6,   426.85, 18.7
1271,    86, 18.6,      108.94, 81.4,   442.13, 22.1
1272,    98, 17.3,      112.21, 82.7,   453.78, 18.4
1273,   100, 25.0,      116.64, 75.0,   481.38, 22.0
1274,   112, 18.8,      131.57, 81.2,   442.18, 18.8
1275,    99, 20.2,      107.78, 79.8,   469.54, 22.2
1276,    95, 18.9,      109.64, 81.1,   427.49, 24.2
1277,    97, 20.6,      117.11, 79.4,   457.19, 20.6
1278,   120, 25.0,      134.60, 75.0,   430.38, 17.5
1279,   128, 23.4,      143.23, 76.6,   435.44, 17.2
1280,   100, 28.0,      116.64, 72.0,   477.11, 21.0
1281,   114, 20.2,      126.90, 79.8,   391.98, 19.3
1282,   110, 23.6,      120.84, 76.4,   382.30, 24.5
1283,   118, 24.6,      128.07, 75.4,   463.29, 19.5
1284,   132, 29.5,      135.54, 70.5,   405.22, 16.7
1285,   101, 22.8,      121.07, 77.2,   446.46, 25.7
1286,    95, 20.0,      113.61, 80.0,   477.23, 23.2
1287,   118, 19.5,      135.07, 80.5,   424.72, 19.5
1288,    83, 13.3,      107.08, 86.7,   488.87, 25.3
1289,   100, 16.0,      118.04, 84.0,   436.58, 21.0
1290,   104, 22.1,      118.04, 77.9,   469.86, 20.2
1291,    99, 18.2,      111.97, 81.8,   506.69, 21.2
1292,    93, 16.1,      114.77, 83.9,   441.92, 25.8
1293,    85, 15.3,      110.57, 84.7,   457.94, 25.9
1294,   123, 24.4,      134.84, 75.6,   394.29, 17.1
1295,   139, 29.5,      147.20, 70.5,   376.72, 34.5
1296,    98, 19.4,      111.04, 80.6,   522.15, 21.4
1297,    95, 15.8,      118.74, 84.2,   435.27, 26.3
1298,    93, 20.4,      111.74, 79.6,   466.60, 22.6
1299,    96, 24.0,      111.04, 76.0,   481.95, 20.8
1300,   103, 20.4,      120.61, 79.6,   491.85, 22.3
1301,    95, 16.8,      109.41, 83.2,   463.29, 21.1
1302,    91, 13.2,      111.97, 86.8,   463.58, 24.2
1303,   107, 13.1,      120.84, 86.9,   419.94, 28.0
1304,    94, 17.0,      112.21, 83.0,   463.82, 24.5
1305,    91, 15.4,      112.67, 84.6,   451.29, 24.2
1306,   128, 29.7,      141.13, 70.3,   442.67, 20.3
1307,   132, 28.0,      139.03, 72.0,   392.53, 18.2
1308,   124, 25.8,      135.54, 74.2,   422.37, 18.5
1309,   105, 22.9,      118.04, 77.1,   503.12, 22.9
1310,   121, 27.3,      139.27, 72.7,   414.11, 18.2
1311,    95, 17.9,      114.31, 82.1,   452.56, 22.1
1312,   125, 24.8,      140.20, 75.2,   379.23, 19.2
1313,   109, 26.6,      121.77, 73.4,   459.92, 22.0
1314,    94, 18.1,      108.24, 81.9,   463.19, 22.3
1315,   136, 27.9,      141.83, 72.1,   405.13, 17.6
1316,    95, 21.1,      111.74, 78.9,   501.26, 23.2
1317,   101, 17.8,      119.91, 82.2,   485.93, 19.8
1318,   112, 20.5,      124.34, 79.5,   450.06, 18.8
1319,    90, 20.0,      111.51, 80.0,   501.93, 23.3
1320,   111, 24.3,      122.01, 75.7,   459.54, 20.7
1321,   105, 18.1,      124.57, 81.9,   437.44, 19.0
1322,    96, 27.1,      114.07, 72.9,   531.64, 24.0
1323,   110, 19.1,      130.17, 80.9,   418.62, 22.7
1324,   100, 19.0,      117.11, 81.0,   426.91, 19.0
1325,   124, 25.8,      137.40, 74.2,   395.34, 18.5
1326,   121, 27.3,      136.00, 72.7,   409.37, 28.9
1327,   101, 20.8,      114.31, 79.2,   451.47, 24.8
1328,   128, 26.6,      139.27, 73.4,   386.56, 25.8
1329,   121, 25.6,      130.17, 74.4,   421.07, 18.2
1330,   125, 24.0,      136.94, 76.0,   406.07, 19.2
1331,   130, 26.2,      143.93, 73.8,   390.47, 28.5
1332,    91, 17.6,      109.18, 82.4,   484.61, 20.9
1333,    86, 14.0,      107.78, 86.0,   460.25, 22.1
1334,   106, 14.2,      125.50, 85.8,   443.85, 21.7
1335,   100, 23.0,      111.97, 77.0,   466.18, 22.0
1336,    96, 21.9,      112.44, 78.1,   473.82, 19.8
1337,    90, 15.6,      110.57, 84.4,   470.80, 23.3
1338,   125, 23.2,      130.40, 76.8,   391.68, 19.2
1339,   119, 22.7,      134.14, 77.3,   377.44, 18.5
1340,   116, 30.2,      129.70, 69.8,   475.08, 15.5
1341,   129, 27.9,      138.34, 72.1,   424.82, 17.1
1342,   108, 23.1,      122.47, 76.9,   445.59, 25.0
1343,   116, 26.7,      127.84, 73.3,   440.95, 27.6
1344,    87, 19.5,      111.04, 80.5,   448.39, 20.7
1345,   120, 21.7,      134.37, 78.3,   397.48, 31.7
1346,   105, 20.0,      125.04, 80.0,   471.59, 21.9
1347,   100, 20.0,      113.37, 80.0,   428.21, 23.0
1348,   127, 26.8,      137.87, 73.2,   418.26, 15.7
1349,   122, 20.5,      133.44, 79.5,   404.59, 16.4
1350,   118, 22.9,      129.94, 77.1,   427.32, 14.4
1351,    88, 10.2,      106.61, 89.8,   460.22, 21.6
1352,   107, 16.8,      130.17, 83.2,   400.60, 19.6
1353,   122, 24.6,      125.04, 75.4,   443.33, 18.0
1354,    91, 16.5,      112.21, 83.5,   432.54, 28.6
1355,    80,  8.8,      105.68, 91.2,   470.65, 27.5
1356,   105, 21.9,      117.11, 78.1,   438.89, 24.8
1357,   108, 22.2,      123.87, 77.8,   435.57, 24.1
1358,   131, 22.9,      145.10, 77.1,   401.51, 14.5
1359,    93, 19.4,      112.67, 80.6,   468.17, 22.6
1360,   120, 19.2,      138.10, 80.8,   360.31, 31.7
1361,   128, 26.6,      145.57, 73.4,   365.81, 30.5
1362,   106, 24.5,      116.64, 75.5,   467.78, 21.7
1363,   133, 29.3,      140.67, 70.7,   412.53, 17.3
1364,   109, 20.2,      122.94, 79.8,   453.44, 16.5
1365,   112, 21.4,      126.90, 78.6,   393.93, 17.9
1366,   106, 22.6,      121.77, 77.4,   473.55, 21.7
1367,   119, 24.4,      139.27, 75.6,   436.75, 16.8
1368,   112, 16.1,      135.07, 83.9,   416.48, 20.5
1369,    99, 23.2,      116.41, 76.8,   478.20, 21.2
1370,   123, 26.0,      134.84, 74.0,   415.39, 14.6
1371,   123, 26.8,      129.70, 73.2,   454.33, 18.7
1372,   134, 28.4,      134.37, 71.6,   399.68, 17.9
1373,   124, 23.4,      137.64, 76.6,   446.97, 18.5
1374,   110, 20.9,      129.47, 79.1,   476.50, 19.1
1375,   110, 27.3,      124.57, 72.7,   430.51, 20.0
1376,    99, 26.3,      114.54, 73.7,   464.18, 23.2
1377,    88, 14.8,      109.18, 85.2,   478.88, 25.0
1378,    96, 21.9,      110.81, 78.1,   463.68, 19.8
1379,   116, 15.5,      129.24, 84.5,   446.19, 18.1
1380,    88, 17.0,      112.21, 83.0,   475.49, 22.7
1381,   129, 24.8,      137.17, 75.2,   423.55, 17.1
1382,    85, 11.8,      104.98, 88.2,   491.31, 23.5
1383,   111, 23.4,      129.47, 76.6,   423.99, 19.8
1384,   100, 20.0,      112.44, 80.0,   481.01, 22.0
1385,   114, 21.1,      131.34, 78.9,   368.19, 20.2
1386,   102, 17.6,      121.77, 82.4,   401.04, 27.5
1387,    89, 13.5,      111.04, 86.5,   479.46, 21.3
1388,   116, 24.1,      132.50, 75.9,   415.53, 18.1
1389,    89, 19.1,      106.84, 80.9,   497.71, 23.6
1390,   120, 27.5,      131.80, 72.5,   384.75, 20.0
1391,   123, 24.4,      132.97, 75.6,   401.30, 17.1
1392,   119, 23.5,      134.84, 76.5,   380.87, 17.6
1393,    97, 24.7,      112.67, 75.3,   486.11, 23.7
1394,   103, 21.4,      116.41, 78.6,   434.48, 25.2
1395,   107, 15.9,      124.57, 84.1,   409.20, 23.4
1396,   111, 22.5,      120.84, 77.5,   418.64, 27.0
1397,    97, 19.6,      111.04, 80.4,   464.15, 17.5
1398,   100, 19.0,      117.57, 81.0,   434.87, 23.0
1399,   118, 23.7,      135.30, 76.3,   398.56, 15.3
1400,   111, 27.9,      119.67, 72.1,   439.43, 20.7
1401,    89, 14.6,      106.38, 85.4,   492.60, 22.5
1402,   104, 23.1,      117.81, 76.9,   475.15, 22.1
1403,    99, 23.2,      114.07, 76.8,   488.36, 21.2
1404,    95, 17.9,      112.44, 82.1,   503.15, 26.3
1405,    81, 13.6,      107.08, 86.4,   468.20, 25.9
1406,    97, 23.7,      113.37, 76.3,   467.53, 19.6
1407,   124, 25.0,      138.57, 75.0,   408.96, 16.9
1408,   134, 25.4,      142.53, 74.6,   383.82, 14.2
1409,    97, 21.6,      112.67, 78.4,   466.79, 20.6
1410,   133, 28.6,      143.47, 71.4,   405.56, 15.8
1411,   120, 24.2,      131.80, 75.8,   383.93, 16.7
1412,    94, 16.0,      110.81, 84.0,   489.32, 25.5
1413,    93, 15.1,      110.34, 84.9,   457.33, 24.7
1414,    99, 19.2,      115.71, 80.8,   467.03, 19.2
1415,   114, 23.7,      131.57, 76.3,   377.31, 16.7
1416,   125, 29.6,      142.07, 70.4,   436.53, 16.0
1417,    99, 20.2,      112.91, 79.8,   505.99, 21.2
1418,   108, 19.4,      124.34, 80.6,   430.41, 25.0
1419,   104, 17.3,      122.01, 82.7,   473.35, 21.2
1420,   111, 20.7,      124.57, 79.3,   433.06, 25.2
1421,   119, 22.7,      136.47, 77.3,   425.27, 17.6
1422,   105, 13.3,      119.44, 86.7,   440.99, 18.1
1423,   113, 22.1,      127.60, 77.9,   420.12, 18.6
1424,   107, 23.4,      119.67, 76.6,   433.75, 30.8
1425,   128, 25.8,      137.17, 74.2,   401.86, 15.6
1426,    85, 12.9,      108.01, 87.1,   496.83, 23.5
1427,    92, 14.1,      111.04, 85.9,   459.71, 25.0
1428,   101, 18.8,      114.77, 81.2,   510.12, 22.8
1429,    89, 12.4,      114.54, 87.6,   439.30, 22.5
1430,    88, 12.5,      102.64, 87.5,   470.68, 22.7
1431,    94, 21.3,      112.44, 78.7,   453.69, 20.2
1432,   139, 29.5,      145.57, 70.5,   446.37, 14.4
1433,   105, 18.1,      124.10, 81.9,   408.17, 18.1
1434,   101, 17.8,      122.94, 82.2,   479.22, 28.7
1435,    92, 16.3,      111.74, 83.7,   467.04, 25.0
1436,   128, 29.7,      140.90, 70.3,   393.18, 14.8
1437,   100, 24.0,      117.11, 76.0,   492.73, 21.0
1438,   118, 24.6,      129.00, 75.4,   440.39, 23.7
1439,   102, 18.6,      116.17, 81.4,   450.35, 22.5
1440,    86, 12.8,      107.31, 87.2,   474.73, 22.1
1441,    91, 17.6,      108.48, 82.4,   472.14, 22.0
1442,   100, 19.0,      123.64, 81.0,   440.01, 20.0
1443,   137, 28.5,      143.00, 71.5,   389.61, 13.9
1444,   114, 16.7,      134.14, 83.3,   432.00, 18.4
1445,    98, 20.4,      115.94, 79.6,   480.73, 28.6
1446,   134, 29.9,      143.23, 70.1,   392.33, 16.4
1447,   129, 27.9,      136.00, 72.1,   393.46, 27.1
1448,   109, 18.3,      124.34, 81.7,   431.94, 20.2
1449,   115, 22.6,      136.47, 77.4,   388.42, 30.4
1450,    87, 17.2,      107.78, 82.8,   461.98, 23.0
1451,    91, 18.7,      108.48, 81.3,   477.81, 23.1
1452,    94, 24.5,      116.64, 75.5,   473.14, 21.3
1453,    99, 23.2,      108.71, 76.8,   479.08, 20.2
1454,   101, 17.8,      115.24, 82.2,   460.32, 20.8
1455,    81, 13.6,      105.21, 86.4,   470.19, 22.2
1456,   130, 33.1,      136.47, 66.9,   415.25, 14.6
1457,    84,  7.1,      101.48, 92.9,   465.31, 23.8
